course,year
Advanced C++ Programming,2.5
Artificial Intelligence I,4
C# Language and .NET Framework,2
Computer Systems,1.5
Data Structures I,4
Introduction to Algorithms,1
Introduction to Artificial Intelligence,2.5
Introduction to Language Technologies,3
Java,2
Large scale optimization,4
Non-Procedural Programming,2.5
Parallel Programming,3.5
Programming 1,1
Programming 1 (advanced),1
Programming 2,1.5
Programming 2 (advanced),1.5
Programming 3,2
Programming in C++,2
Programming in Python,2.5
Web Applications,2
