time,id,group1,group2,name,runtime,lang,num_atts,sub_atts,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-10T09:15:00.037,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,1,1,1,0,0,0,0,0,0,
2023-11-10T09:16:41.961,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,1,3,3,0,0,0,0,0,0,
2023-11-10T09:16:52.856,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,4,4,0,0,0,0,0,0,
2023-11-11T08:30:23.354,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,1,3,3,0,0,0,0,0,0,
2023-11-11T08:30:26.978,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,
2023-11-11T08:30:31.425,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,en,0,0,0,4,0,0,0,4,0,0,0,
2023-11-11T08:30:35.552,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,
2023-11-11T08:30:56.499,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.6,5,3,0,0,0,2,0,0,
2023-11-11T08:30:59.835,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Introduction to Algorithms,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,
2023-11-11T08:31:09.974,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,8,8,0,0,0,0,0,0,
2023-11-11T08:31:13.379,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,0,4,0,0,0,4,0,0,0,
2023-11-11T08:31:16.877,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.6,10,6,0,0,4,0,0,0,
2023-11-11T08:31:22.919,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,1,6,6,0,0,0,0,0,0,
2023-11-11T08:31:25.856,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,4,4,0,0,0,0,0,0,
2023-11-11T08:31:28.967,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,
2023-11-11T08:32:09.438,3a353dbe-38c3-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0.5,6,3,0,0,2,1,0,0,
2023-11-11T08:32:12.330,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,0.2,5,1,0,0,3,1,0,0,
2023-11-11T08:32:15.226,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,1,3,3,0,0,0,0,0,0,
2023-11-11T08:32:19.527,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,
2023-11-11T08:42:58.496,8330de2c-4dd1-11ec-986f-f39926f24a9c,Introduction to Algorithms,,Sorted linked lists,python3,en,1,1,1,10,10,0,0,0,0,0,0,
2023-11-11T08:43:02.330,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,1,3,3,0,0,0,0,0,0,
