time,id,group1,group2,name,runtime,lang,num_atts,sub_atts,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg,
2023-11-11T12:52:35.093,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0,1,0,0,1,0,0,0,0,,
2023-11-11T12:52:57.490,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,1,3,3,0,0,0,0,0,0,,
2023-11-11T12:53:07.520,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,4,4,0,0,0,0,0,0,,
2023-11-11T12:53:27.924,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,0,3,0,3,0,0,0,0,0,,
2023-11-11T12:54:01.484,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,,
2023-11-11T12:54:15.242,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,en,0,0,0,4,0,4,0,0,0,0,0,,
2023-11-11T12:54:26.483,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T12:56:47.813,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T12:57:01.300,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Introduction to Algorithms,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T12:59:35.947,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,8,0,0,0,8,0,0,0,,
2023-11-11T12:59:50.628,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T13:00:06.855,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,10,0,0,0,10,0,0,0,,
2023-11-11T13:00:35.783,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,1,6,6,0,0,0,0,0,0,,
2023-11-11T13:00:41.051,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,4,4,0,0,0,0,0,0,,
2023-11-11T13:00:47.087,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T13:03:23.503,3a353dbe-38c3-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0.17,6,1,0,0,4,0,1,0,,
2023-11-11T13:03:34.913,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,0.2,5,1,0,0,3,1,0,0,,
2023-11-11T13:03:44.100,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,1,3,3,0,0,0,0,0,0,,
2023-11-11T13:05:10.453,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T13:06:16.381,8330de2c-4dd1-11ec-986f-f39926f24a9c,Introduction to Algorithms,,Sorted linked lists,python3,en,1,1,0.6,10,6,0,0,4,0,0,0,,
2023-11-11T13:06:28.917,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0.33,3,1,0,2,0,0,0,0,,
2023-11-11T13:07:02.428,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,0,5,0,0,5,0,0,0,0,,
