time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg,
2023-11-08T12:08:19.696,fp_eeff13170a,1,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,330,70,400,1,1,1,0,0,0,0,0,0,,
2023-11-08T12:09:19.498,fp_eeff13170a,1,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,370,78,448,1,3,3,0,0,0,0,0,0,,
2023-11-08T12:09:22.657,fp_eeff13170a,1,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,316,84,400,1,4,4,0,0,0,0,0,0,,
2023-11-08T12:09:25.663,fp_eeff13170a,1,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,332,50,382,1,3,3,0,0,0,0,0,0,,
2023-11-08T12:09:29.044,fp_eeff13170a,1,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,329,92,421,1,5,5,0,0,0,0,0,0,,
2023-11-08T12:09:32.459,fp_eeff13170a,1,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 3.1 Rozklad na prvočinitele,cs-dotnet-core,en,0,0,329,102,431,0,4,0,0,0,4,0,0,0,,
2023-11-08T12:09:35.437,fp_eeff13170a,1,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,335,52,387,1,5,5,0,0,0,0,0,0,,
2023-11-08T12:09:49.024,fp_eeff13170a,1,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,332,64,396,0.8,5,4,0,0,0,1,0,0,,
2023-11-08T12:15:54.031,fp_eeff13170a,1,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Algoritmizace,(title in AnonLang),python3,al,0,0,336,61,397,1,5,5,0,0,0,0,0,0,,
2023-11-08T12:16:04.738,fp_eeff13170a,1,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,43,397,1,8,8,0,0,0,0,0,0,,
2023-11-08T12:16:08.064,fp_eeff13170a,1,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,298,81,379,1,4,4,0,0,0,0,0,0,,
2023-11-08T12:16:11.168,fp_eeff13170a,1,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,359,51,410,1,10,10,0,0,0,0,0,0,,
2023-11-08T12:16:16.703,fp_eeff13170a,1,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,346,262,608,1,6,6,0,0,0,0,0,0,,
2023-11-08T12:16:19.587,fp_eeff13170a,1,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,373,23,396,1,4,4,0,0,0,0,0,0,,
2023-11-08T12:16:22.322,fp_eeff13170a,1,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,20,374,1,5,5,0,0,0,0,0,0,,
2023-11-08T13:20:38.729,fp_eeff13170a,1,3a353dbe-38c3-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,378,166,544,1,6,6,0,0,0,0,0,0,,
2023-11-08T13:20:43.167,fp_eeff13170a,1,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,251,26,277,0.8,5,4,0,0,0,1,0,0,,
2023-11-08T13:20:46.006,fp_eeff13170a,1,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,376,27,403,1,3,3,0,0,0,0,0,0,,
2023-11-08T13:20:49.614,fp_eeff13170a,1,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,390,106,496,1,5,5,0,0,0,0,0,0,,
2023-11-08T13:20:50.104,fp_eeff13170a,1,8330de2c-4dd1-11ec-986f-f39926f24a9c,Algoritmizace,,Sorted linked lists,python3,en,1,1,637,15,652,0,1,0,0,0,0,0,0,1,no filename provided,
2023-11-08T13:20:53.367,fp_eeff13170a,1,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,377,87,464,1,3,3,0,0,0,0,0,0,,
2023-11-08T13:20:56.682,fp_eeff13170a,1,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,328,79,407,1,5,5,0,0,0,0,0,0,,
2023-11-08T13:21:07.290,fp_eeff13170a,1,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,422,132,554,1,4,4,0,0,0,0,0,0,,
2023-11-08T13:21:10.062,fp_eeff13170a,1,81b2eec0-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,401,22,423,0,6,0,0,0,6,0,0,0,,
2023-11-08T13:21:16.054,fp_eeff13170a,1,64a9972c-ea9f-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,421,419,840,1,15,15,0,0,0,0,0,0,,
2023-11-08T13:21:19.378,fp_eeff13170a,1,00c64bbc-28de-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,413,99,512,1,6,6,0,0,0,0,0,0,,
2023-11-08T13:21:22.359,fp_eeff13170a,1,08deab74-85f8-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,429,40,469,1,5,5,0,0,0,0,0,0,,
2023-11-08T13:21:25.353,fp_eeff13170a,1,e5ce30fb-3c22-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,425,34,459,0.54,11,6,0,0,5,0,0,0,,
2023-11-08T13:21:28.393,fp_eeff13170a,1,91e0cb16-34ad-42b0-b17c-39a8e0747a47,Programming I and II,,Fibonacci numbers,python3,en,0,0,340,54,394,0.1,10,1,0,0,9,0,0,0,,
2023-11-08T13:21:31.573,fp_eeff13170a,1,0f783909-2eb1-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,404,44,448,1,3,3,0,0,0,0,0,0,,
2023-11-08T13:21:35.360,fp_eeff13170a,1,3485ea4f-7205-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,421,183,604,0,4,0,0,3,1,0,0,0,,
