time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-11T13:07:56.194944,fp_eeff13170a,2,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,SIMPLE součin čísel,cs-dotnet-core,cs,0,0,330,76,406,1.00,1,1,0,0,0,0,0,0,
2023-11-11T13:07:59.647354,fp_eeff13170a,2,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,SIMPLE soucet do stopky,cs-dotnet-core,cs,0,0,370,61,431,1.00,3,3,0,0,0,0,0,0,
2023-11-11T13:08:02.682608,fp_eeff13170a,2,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,Test prvočíselnosti,python3,cs,0,0,316,70,386,1.00,4,4,0,0,0,0,0,0,
2023-11-11T13:08:06.820958,fp_eeff13170a,2,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,332,50,382,1.00,3,3,0,0,0,0,0,0,
2023-11-11T13:08:10.431931,fp_eeff13170a,2,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,Rozklad na prvočinitele,python3,cs,0,0,329,74,403,0.20,5,1,0,0,4,0,0,0,
2023-11-11T13:08:13.928143,fp_eeff13170a,2,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 3.1 Rozklad na prvočinitele,cs-dotnet-core,en,0,0,329,102,431,0.00,4,0,0,0,4,0,0,0,
2023-11-11T13:08:17.709907,fp_eeff13170a,2,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,P1M: Rozklad na součin prvočísel,python3,cs,0,0,335,55,390,1.00,5,5,0,0,0,0,0,0,
2023-11-11T13:08:31.943363,fp_eeff13170a,2,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,P1M: Funkce na generování prvočísel,python3,cs,0,0,332,68,400,0.80,5,4,0,0,0,1,0,0,
2023-11-11T13:08:35.313015,fp_eeff13170a,2,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Algoritmizace,Kvadratický sort,python3,cs,0,0,336,114,450,0.00,5,0,0,0,5,0,0,0,
2023-11-11T13:14:45.849659,fp_eeff13170a,2,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,5P 2.2 Druhé největší číslo - řádky,python3,cs,0,0,354,72,426,0.60,8,5,0,0,3,0,0,0,
2023-11-11T13:14:48.931574,fp_eeff13170a,2,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,298,85,383,1.00,4,4,0,0,0,0,0,0,
2023-11-11T13:14:51.721771,fp_eeff13170a,2,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,Maximum,python3,cs,0,0,359,38,397,1.00,10,10,0,0,0,0,0,0,
2023-11-11T13:14:56.499450,fp_eeff13170a,2,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Algoritmizace,,MergeSort,python3,cs,0,0,346,275,621,1.00,6,6,0,0,0,0,0,0,
