time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-08T12:10:26.089,fp_a24b4d720c,1,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,330,71,401,1,1,1,0,0,0,0,0,0,
2023-11-08T12:10:48.541,fp_a24b4d720c,1,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,370,67,437,1,3,3,0,0,0,0,0,0,
2023-11-08T12:10:52.689,fp_a24b4d720c,1,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,316,81,397,1,4,4,0,0,0,0,0,0,
2023-11-08T12:10:56.472,fp_a24b4d720c,1,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,332,60,392,1,3,3,0,0,0,0,0,0,
2023-11-08T12:11:01.030,fp_a24b4d720c,1,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,329,101,430,1,5,5,0,0,0,0,0,0,
2023-11-08T12:11:05.798,fp_a24b4d720c,1,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,en,0,0,329,107,436,1,4,4,0,0,0,0,0,0,
2023-11-08T12:11:10.273,fp_a24b4d720c,1,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,335,90,425,1,5,5,0,0,0,0,0,0,
2023-11-08T12:11:25.155,fp_a24b4d720c,1,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,332,93,425,1,5,5,0,0,0,0,0,0,
2023-11-08T12:17:35.173,fp_a24b4d720c,1,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Introduction to Algorithms,(title in AnonLang),python3,al,0,0,336,107,443,1,5,5,0,0,0,0,0,0,
2023-11-08T12:17:46.579,fp_a24b4d720c,1,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,83,437,0.6,8,5,0,0,3,0,0,0,
2023-11-08T12:17:55.118,fp_a24b4d720c,1,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,298,226,524,1,4,4,0,0,0,0,0,0,
2023-11-08T12:18:03.715,fp_a24b4d720c,1,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,359,50,409,1,10,10,0,0,0,0,0,0,
2023-11-08T12:18:12.749,fp_a24b4d720c,1,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,346,348,694,1,6,6,0,0,0,0,0,0,
2023-11-08T12:18:16.165,fp_a24b4d720c,1,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,373,32,405,1,4,4,0,0,0,0,0,0,
2023-11-08T12:18:20.366,fp_a24b4d720c,1,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,59,413,1,5,5,0,0,0,0,0,0,
2023-11-09T11:40:32.172,fp_a24b4d720c,1,3a353dbe-38c3-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,378,149,527,1,6,6,0,0,0,0,0,0,
2023-11-09T11:40:48.556,fp_a24b4d720c,1,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,251,305,556,0.2,5,1,0,0,1,1,2,0,
2023-11-09T11:40:51.991,fp_a24b4d720c,1,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,376,31,407,1,3,3,0,0,0,0,0,0,
2023-11-09T11:40:58.255,fp_a24b4d720c,1,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,390,152,542,1,5,5,0,0,0,0,0,0,
2023-11-09T11:41:33.905,fp_a24b4d720c,1,8330de2c-4dd1-11ec-986f-f39926f24a9c,Introduction to Algorithms,,Sorted linked lists,python3,en,1,1,637,658,1295,1,10,10,0,0,0,0,0,0,
2023-11-09T11:41:39.377,fp_a24b4d720c,1,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,377,106,483,1,3,3,0,0,0,0,0,0,
2023-11-09T11:41:46.937,fp_a24b4d720c,1,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,328,123,451,1,5,5,0,0,0,0,0,0,
2023-11-09T11:42:15.301,fp_a24b4d720c,1,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,422,437,859,1,4,4,0,0,0,0,0,0,
2023-11-09T11:42:20.256,fp_a24b4d720c,1,81b2eec0-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,401,71,472,1,6,6,0,0,0,0,0,0,
2023-11-09T11:42:28.199,fp_a24b4d720c,1,64a9972c-ea9f-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,421,243,664,0.6,15,9,0,0,6,0,0,0,
2023-11-09T11:42:33.111,fp_a24b4d720c,1,00c64bbc-28de-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,413,91,504,1,6,6,0,0,0,0,0,0,
2023-11-09T11:42:36.611,fp_a24b4d720c,1,08deab74-85f8-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,429,41,470,1,5,5,0,0,0,0,0,0,
2023-11-09T11:42:42.546,fp_a24b4d720c,1,e5ce30fb-3c22-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,425,128,553,1,11,11,0,0,0,0,0,0,
2023-11-09T11:42:49.806,fp_a24b4d720c,1,91e0cb16-34ad-42b0-b17c-39a8e0747a47,Programming I and II,,Fibonacci numbers,python3,en,0,0,340,113,453,1,10,10,0,0,0,0,0,0,
2023-11-09T11:42:54.768,fp_a24b4d720c,1,0f783909-2eb1-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,404,55,459,1,3,3,0,0,0,0,0,0,
2023-11-09T11:43:05.642,fp_a24b4d720c,1,3485ea4f-7205-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,421,356,777,1,4,4,0,0,0,0,0,0,
2023-11-09T11:43:15.840,fp_a24b4d720c,1,62597d41-5272-11ea-a595-00505601122b,Non-Procedural Programming,,Disjoint split,prolog,en,0,0,315,54,369,1,4,4,0,0,0,0,0,0,
2023-11-09T11:43:34.970,fp_a24b4d720c,1,1076ec35-90b8-11ec-986f-f39926f24a9c,Non-Procedural Programming,,(title in AnonLang),prolog,al,0,0,378,398,776,0.14,7,1,0,6,0,0,0,0,
2023-11-09T11:43:42.106,fp_a24b4d720c,1,bb1a0d53-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,430,91,521,1,4,4,0,0,0,0,0,0,
