time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-18T10:56:05.642466,fp_a24b4d720c,1,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,354,74,428,1.00,1,1,0,0,0,0,0,0,
2023-11-18T10:56:23.071521,fp_a24b4d720c,1,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,394,59,453,1.00,3,3,0,0,0,0,0,0,
2023-11-18T10:56:44.862470,fp_a24b4d720c,1,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,340,127,467,1.00,4,4,0,0,0,0,0,0,
2023-11-18T10:56:48.746916,fp_a24b4d720c,1,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,356,50,406,1.00,3,3,0,0,0,0,0,0,
2023-11-18T10:56:56.866397,fp_a24b4d720c,1,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,353,184,537,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:57:02.893120,fp_a24b4d720c,1,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 3.1 Rozklad na prvočinitele,cs-dotnet-core,en,0,0,353,103,456,1.00,4,4,0,0,0,0,0,0,
2023-11-18T10:57:10.104417,fp_a24b4d720c,1,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,359,156,515,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:57:17.965683,fp_a24b4d720c,1,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,356,95,451,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:57:24.748145,fp_a24b4d720c,1,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Algoritmizace,(title in AnonLang),python3,al,0,0,360,139,499,0.00,5,0,0,0,5,0,0,0,
2023-11-18T10:57:35.266462,fp_a24b4d720c,1,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,378,139,517,0.60,8,5,0,0,3,0,0,0,
2023-11-18T10:57:43.084753,fp_a24b4d720c,1,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,322,154,476,0.50,4,2,0,0,2,0,0,0,
2023-11-18T10:57:47.191801,fp_a24b4d720c,1,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,383,39,422,1.00,10,10,0,0,0,0,0,0,
2023-11-18T10:58:00.964896,fp_a24b4d720c,1,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,370,349,719,1.00,6,6,0,0,0,0,0,0,
2023-11-18T10:58:04.541176,fp_a24b4d720c,1,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,397,32,429,1.00,4,4,0,0,0,0,0,0,
2023-11-18T10:58:09.164494,fp_a24b4d720c,1,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,378,55,433,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:58:29.701542,fp_a24b4d720c,1,3a353dbe-38c3-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,402,433,835,0.83,6,5,0,0,0,0,1,0,
2023-11-18T10:58:37.601373,fp_a24b4d720c,1,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,275,92,367,0.00,5,0,0,0,0,0,5,0,
2023-11-18T10:58:41.577262,fp_a24b4d720c,1,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,400,36,436,1.00,3,3,0,0,0,0,0,0,
2023-11-18T10:58:51.387324,fp_a24b4d720c,1,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,414,191,605,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:59:15.504120,fp_a24b4d720c,1,8330de2c-4dd1-11ec-986f-f39926f24a9c,Algoritmizace,,Sorted linked lists,python3,en,1,1,661,647,1308,1.00,10,10,0,0,0,0,0,0,
2023-11-18T10:59:22.778204,fp_a24b4d720c,1,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,401,128,529,1.00,3,3,0,0,0,0,0,0,
2023-11-18T10:59:29.355078,fp_a24b4d720c,1,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,352,109,461,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:59:43.102842,fp_a24b4d720c,1,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,446,268,714,1.00,4,4,0,0,0,0,0,0,
