time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-18T10:47:13.353404,fp_a24b4d720c,1,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,350,70,420,1.00,1,1,0,0,0,0,0,0,
2023-11-18T10:48:15.579345,fp_a24b4d720c,1,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,390,65,455,1.00,3,3,0,0,0,0,0,0,
2023-11-18T10:49:03.132354,fp_a24b4d720c,1,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,336,94,430,1.00,4,4,0,0,0,0,0,0,
2023-11-18T10:49:07.417433,fp_a24b4d720c,1,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,352,58,410,1.00,3,3,0,0,0,0,0,0,
2023-11-18T10:49:14.231387,fp_a24b4d720c,1,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,349,153,502,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:49:21.881471,fp_a24b4d720c,1,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,en,0,0,349,146,495,1.00,4,4,0,0,0,0,0,0,
2023-11-18T10:49:26.068042,fp_a24b4d720c,1,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,355,47,402,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:49:32.726891,fp_a24b4d720c,1,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,352,82,434,1.00,5,5,0,0,0,0,0,0,
2023-11-18T10:49:37.588346,fp_a24b4d720c,1,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Introduction to Algorithms,(title in AnonLang),python3,al,0,0,356,81,437,0.00,5,0,0,0,5,0,0,0,
2023-11-18T10:49:49.614246,fp_a24b4d720c,1,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,374,170,544,1.00,8,8,0,0,0,0,0,0,
