=== tokens ===

total_in_tokens,700835
total_out_tokens,246859
total_inout_tokens,947694
"cost (GPT 3.5, 16K)",$1.19
"cost (GPT 4, 128K)",$14.41

=== all exercises ===

,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
(all),559,0.54,51.0%,13.6%,9.9%,20.6%,2.8%,1.7%,0.4%

=== by language ===

language,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
al,236,0.60,54.7%,7.1%,9.4%,24.1%,2.4%,2.0%,0.2%
en,323,0.49,48.6%,17.9%,10.3%,18.2%,3.1%,1.5%,0.5%

=== by runtime ===

runtime,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
arduino-gcc,5,0.20,11.1%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%
c-gcc-linux,7,0.74,66.7%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%
cs-dotnet-core,105,0.55,50.0%,14.8%,9.9%,20.8%,3.5%,0.6%,0.4%
cxx-gcc-linux,60,0.29,26.8%,45.8%,0.0%,16.3%,6.1%,2.9%,1.7%
haskell,27,0.22,17.0%,72.1%,3.5%,5.7%,1.7%,0.0%,0.0%
java,14,0.55,47.8%,33.3%,7.2%,11.6%,0.0%,0.0%,0.0%
node-linux,11,0.25,18.2%,0.0%,29.1%,21.8%,29.1%,0.0%,1.8%
php-linux,14,0.31,36.6%,0.0%,9.8%,51.8%,0.9%,0.9%,0.0%
prolog,36,0.32,35.1%,10.0%,24.4%,20.1%,2.0%,8.4%,0.0%
python3,280,0.66,65.5%,0.0%,10.1%,21.4%,1.5%,1.3%,0.2%

=== by attachments ===

attachments,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
all,80,0.42,43.5%,27.4%,9.8%,16.5%,0.9%,1.3%,0.7%
none,429,0.60,59.6%,7.6%,8.7%,20.0%,2.4%,1.6%,0.1%
partial,50,0.15,13.1%,31.2%,16.7%,28.1%,7.1%,2.7%,1.2%

=== by course ===

course,year,prog_lang,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
Introduction to Algorithms,1.0,python,38,0.69,71.9%,0.0%,4.7%,19.8%,0.7%,2.9%,0.0%
Programming 1,1.0,python,214,0.72,70.0%,0.0%,6.6%,21.2%,1.5%,0.8%,0.0%
Programming 1 (advanced),1.0,c++,8,0.27,35.6%,10.2%,0.0%,30.5%,13.6%,10.2%,0.0%
Programming 1 (advanced),1.0,python,10,0.39,31.8%,0.0%,27.3%,39.4%,1.5%,0.0%,0.0%
Computer Systems,1.5,arduino,5,0.20,11.1%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%
Computer Systems,1.5,c++,1,0.00,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Programming 2,1.5,c#,78,0.64,67.6%,2.6%,5.0%,20.0%,4.6%,0.2%,0.0%
Programming 2 (advanced),1.5,c#,2,0.30,37.5%,0.0%,50.0%,0.0%,0.0%,12.5%,0.0%
Programming 2 (advanced),1.5,c++,9,0.12,28.8%,13.5%,0.0%,25.0%,23.1%,7.7%,1.9%
C# Language and .NET Framework,2.0,c#,24,0.30,27.2%,30.9%,15.1%,22.8%,2.2%,0.7%,1.0%
Java,2.0,java,14,0.55,47.8%,33.3%,7.2%,11.6%,0.0%,0.0%,0.0%
Programming 3,2.0,c,7,0.74,66.7%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%
Programming in C++,2.0,c++,32,0.44,29.7%,56.8%,0.0%,12.4%,0.5%,0.0%,0.5%
Web Applications,2.0,node.js,11,0.25,18.2%,0.0%,29.1%,21.8%,29.1%,0.0%,1.8%
Web Applications,2.0,php,14,0.31,36.6%,0.0%,9.8%,51.8%,0.9%,0.9%,0.0%
Advanced C++ Programming,2.5,c++,6,0.06,3.8%,80.8%,0.0%,7.7%,0.0%,0.0%,7.7%
Introduction to Artificial Intelligence,2.5,python,3,0.10,11.8%,0.0%,70.6%,0.0%,0.0%,17.6%,0.0%
Non-Procedural Programming,2.5,haskell,27,0.22,17.0%,72.1%,3.5%,5.7%,1.7%,0.0%,0.0%
Non-Procedural Programming,2.5,prolog,36,0.32,35.1%,10.0%,24.4%,20.1%,2.0%,8.4%,0.0%
Programming in Python,2.5,python,3,0.07,6.2%,0.0%,18.8%,50.0%,25.0%,0.0%,0.0%
Introduction to Language Technologies,3.0,python,1,0.41,41.2%,0.0%,0.0%,58.8%,0.0%,0.0%,0.0%
Parallel Programming,3.5,c#,1,0.00,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Parallel Programming,3.5,c++,2,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Data Structures I,4.0,c++,2,0.00,0.0%,92.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Data Structures I,4.0,python,6,0.10,7.7%,0.0%,87.2%,0.0%,0.0%,5.1%,0.0%
Large scale optimization,4.0,python,5,0.20,13.3%,0.0%,66.7%,0.0%,0.0%,0.0%,20.0%
